iter	RMSE
0	9.106941275
1	8.923772637
2	8.766636467
3	8.608845448
4	8.448058369
5	8.293477347
6	8.143033482
7	7.997313907
8	7.853453016
9	7.707913142
10	7.57239266
11	7.446172937
12	7.314999161
13	7.188946369
14	7.080612825
15	6.959396761
16	6.850659393
17	6.73874567
18	6.62826041
19	6.517640097
20	6.398372074
21	6.307551565
22	6.213402395
23	6.122076619
24	6.034440182
25	5.937811803
26	5.859119718
27	5.775157018
28	5.687515289
29	5.588954286
30	5.498386173
31	5.423783334
32	5.357902891
33	5.288710822
34	5.222156498
35	5.154810577
36	5.096802709
37	5.030534513
38	4.965015569
39	4.897477696
40	4.84472985
41	4.78334218
42	4.736366775
43	4.669520673
44	4.608094476
45	4.561428088
46	4.511472224
47	4.448199796
48	4.395178312
49	4.348651637
50	4.296039331
51	4.249009969
52	4.199250728
53	4.164957299
54	4.122224797
55	4.09075095
56	4.050242156
57	4.007288148
58	3.975455829
59	3.946828511
60	3.909875322
61	3.868885533
62	3.843251773
63	3.813372265
64	3.778395885
65	3.739608944
66	3.702396833
67	3.67387208
68	3.639108036
69	3.611153576
70	3.574673161
71	3.551109156
72	3.531147326
73	3.504609283
74	3.473760189
75	3.450019779
76	3.427711477
77	3.3962467
78	3.372167809
79	3.350285249
80	3.324840262
81	3.300387514
82	3.284023006
83	3.258548693
84	3.236013178
85	3.208723589
86	3.187158291
87	3.164398757
88	3.140881904
89	3.119204542
90	3.097025035
91	3.081251392
92	3.068625229
93	3.047885981
94	3.028908595
95	3.020467494
96	2.999473745
97	2.98219422
98	2.962098976
99	2.948805877
100	2.940526244
101	2.92914659
102	2.914340054
103	2.897531771
104	2.883426058
105	2.869341562
106	2.851120038
107	2.83577661
108	2.819744869
109	2.805652688
110	2.794395549
111	2.774877984
112	2.759971261
113	2.753168465
114	2.738113247
115	2.726661089
116	2.712659115
117	2.697978137
118	2.688319695
119	2.67634396
120	2.667981003
121	2.654125784
122	2.64367489
123	2.630555688
124	2.622544234
125	2.610166448
126	2.602758875
127	2.589928611
128	2.577513534
129	2.567709805
130	2.557098899
131	2.548620394
132	2.537872593
133	2.526897864
134	2.517142538
135	2.513642327
136	2.507257672
137	2.500430895
138	2.494750557
139	2.486834558
140	2.4762687
141	2.46818599
142	2.457968765
143	2.449704567
144	2.438345741
145	2.428822834
146	2.420805811
147	2.411918012
148	2.404898138
149	2.396925517
150	2.388495761
151	2.37987187
152	2.370517161
153	2.358845007
154	2.34969712
155	2.344802245
156	2.33786194
157	2.329753221
158	2.323287627
159	2.318116221
160	2.31268322
161	2.305247663
162	2.297603191
163	2.291121819
164	2.284822476
165	2.279513646
166	2.27299236
167	2.267132709
168	2.260962597
169	2.256450237
170	2.249316886
171	2.245403712
172	2.237482501
173	2.233157757
174	2.227151968
175	2.219010828
176	2.213737655
177	2.206496082
178	2.201803001
179	2.195922221
180	2.189804991
181	2.183357113
182	2.179537727
183	2.174718475
184	2.169733444
185	2.166118882
186	2.159011562
187	2.151561435
188	2.147914934
189	2.139590343
190	2.134340527
191	2.127400323
192	2.122220527
193	2.112614274
194	2.108076584
195	2.103971476
196	2.096504137
197	2.091377284
198	2.086769028
199	2.081936569
200	2.075772136
201	2.070067107
202	2.063101455
203	2.057270152
204	2.050419286
205	2.046281371
206	2.037562705
207	2.031976195
208	2.030275042
209	2.028028044
210	2.026502651
211	2.024598986
212	2.021347179
213	2.013684161
214	2.008804419
215	2.005362358
216	2.001052406
217	1.994993791
218	1.990085063
219	1.988308849
220	1.980932588
221	1.979385188
222	1.975554193
223	1.972781543
224	1.970456149
225	1.965316207
226	1.957386695
227	1.953688228
228	1.947024741
229	1.940713504
230	1.934253804
231	1.928913414
232	1.920510995
233	1.918266129
234	1.913772906
235	1.908146572
236	1.903565524
237	1.900275761
238	1.895126239
239	1.890020171
240	1.886487259
241	1.881034912
242	1.876415013
243	1.87393798
244	1.871273169
245	1.865962906
246	1.860006072
247	1.854915859
248	1.850709532
249	1.850020317
250	1.848055449
251	1.84195485
252	1.83564175
253	1.831467377
254	1.828467587
255	1.823683135
256	1.818822477
257	1.816269289
258	1.813528624
259	1.809465544
260	1.80549747
261	1.800840741
262	1.796540744
263	1.793762537
264	1.791212326
265	1.786513657
266	1.782172795
267	1.77625671
268	1.774282597
269	1.769468265
270	1.76791708
271	1.763877649
272	1.762406952
273	1.760521369
274	1.753468426
275	1.751904435
276	1.747224278
277	1.743559343
278	1.738949214
279	1.732907367
280	1.729339579
281	1.724257289
282	1.722499884
283	1.721063845
284	1.719806615
285	1.716480626
286	1.712381387
287	1.708404143
288	1.704774195
289	1.702005431
290	1.697057254
291	1.694647038
292	1.693932787
293	1.693272337
294	1.686501537
295	1.681393251
296	1.676763166
297	1.674331917
298	1.672716843
299	1.671562791
300	1.664028802
301	1.662274022
302	1.659068
303	1.656305723
304	1.65235529
305	1.648594335
306	1.644586311
307	1.643431565
308	1.637259576
309	1.632263139
310	1.629375863
311	1.627320391
312	1.624412654
313	1.623898554
314	1.618072874
315	1.614147376
316	1.611475057
317	1.610259092
318	1.606063322
319	1.601126588
320	1.594310398
321	1.590295695
322	1.586396903
323	1.584288762
324	1.582488481
325	1.580048514
326	1.573635408
327	1.573250236
328	1.572782103
329	1.570453553
330	1.568047845
331	1.564875997
332	1.563020373
333	1.555484719
334	1.553713821
335	1.549618357
336	1.548364117
337	1.546352599
338	1.545003606
339	1.541191421
340	1.539131244
341	1.538734888
342	1.537492969
343	1.537055705
344	1.536036476
345	1.531915817
346	1.530330982
347	1.52807284
348	1.523121623
349	1.519569295
350	1.514050366
351	1.509430068
352	1.505080932
353	1.50035144
354	1.499628693
355	1.496043988
356	1.49464232
357	1.491113504
358	1.488323635
359	1.484838842
360	1.483134174
361	1.479373179
362	1.473933889
363	1.468215724
364	1.466154678
365	1.465667086
366	1.461361621
367	1.457706212
368	1.455701915
369	1.450731716
370	1.445852874
371	1.445430017
372	1.440453188
373	1.437235123
374	1.434197946
375	1.432466026
376	1.428119414
377	1.423738372
378	1.421743744
379	1.417019377
380	1.415577188
381	1.414645429
382	1.410330534
383	1.408217249
384	1.404507692
385	1.400101198
386	1.399004647
387	1.395141209
388	1.39346775
389	1.38968405
390	1.385772778
391	1.384169755
392	1.379667837
393	1.375060162
394	1.374665516
395	1.372390205
396	1.368997525
397	1.366713529
398	1.363533745
399	1.360393115
400	1.355806311
401	1.354874414
402	1.351633761
403	1.35129006
404	1.347449065
405	1.343220001
406	1.339775776
407	1.338668315
408	1.336344434
409	1.334328957
410	1.333476509
411	1.331802938
412	1.327963301
413	1.324572928
414	1.322408431
415	1.321826915
416	1.321156964
417	1.319601804
418	1.31764537
419	1.317309266
420	1.315308777
421	1.312433194
422	1.309271222
423	1.308656466
424	1.306460434
425	1.302109447
426	1.298238456
427	1.29572636
428	1.291230513
429	1.286548013
430	1.286162602
431	1.281781087
432	1.281411635
433	1.277283845
434	1.27409218
435	1.271393628
436	1.268459699
437	1.267155449
438	1.266858838
439	1.263372285
440	1.262644788
441	1.25907872
442	1.255620396
443	1.255237903
444	1.253957151
445	1.251780569
446	1.2472932
447	1.244965914
448	1.24163192
449	1.238161408
450	1.234806814
451	1.232062384
452	1.230127872
453	1.226605906
454	1.225184919
455	1.223460038
456	1.222037196
457	1.221354741
458	1.21793699
459	1.213883293
460	1.211329128
461	1.21081068
462	1.20938265
463	1.206467367
464	1.205326598
465	1.203661927
466	1.202834892
467	1.198510899
468	1.195521381
469	1.195188364
470	1.192055369
471	1.188038238
472	1.186603318
473	1.184401583
474	1.180732175
475	1.17915875
476	1.175973803
477	1.17426507
478	1.170677842
479	1.17004878
480	1.167348759
481	1.164018762
482	1.160974728
483	1.160067229
484	1.157690333
485	1.157100555
486	1.15675803
487	1.155525292
488	1.151877377
489	1.148769285
490	1.145701305
491	1.144413978
492	1.141505457
493	1.13974135
494	1.136890474
495	1.133753679
496	1.130912559
497	1.127932033
498	1.125499229
499	1.122148558
500	1.118866386
501	1.11820138
502	1.115019874
503	1.112634731
504	1.11013027
505	1.108195034
506	1.106826667
507	1.103715678
508	1.1006075
509	1.09805709
510	1.096942356
511	1.096199416
512	1.095646504
513	1.093017991
514	1.091975559
515	1.089286488
516	1.086218479
517	1.083310991
518	1.080317825
519	1.078348765
520	1.075944504
521	1.073051389
522	1.069899939
523	1.067760228
524	1.065164509
525	1.064920474
526	1.061988334
527	1.058752678
528	1.058270172
529	1.055833545
530	1.053504675
531	1.051210412
532	1.049072681
533	1.046121392
534	1.043758997
535	1.041077617
536	1.038992751
537	1.036866195
538	1.03355224
539	1.032671213
540	1.030379313
541	1.028437074
542	1.02708211
543	1.024693265
544	1.021697059
545	1.020774761
546	1.017876004
547	1.015765301
548	1.013675012
549	1.011839911
550	1.011451124
551	1.009822754
552	1.008961588
553	1.008455416
554	1.006470376
555	1.00330286
556	1.000296958
557	0.9979147283
558	0.9958218331
559	0.9931129019
560	0.9917869334
561	0.9902597596
562	0.9876151793
563	0.9851035927
564	0.9831927806
565	0.9817982353
566	0.979334763
567	0.9771501182
568	0.9767974041
569	0.974767782
570	0.9741672603
571	0.9723607508
572	0.9708227756
573	0.9690110758
574	0.9662916409
575	0.9640910956
576	0.9621173939
577	0.9595933566
578	0.9588996546
579	0.9569679247
580	0.9548618549
